"2","cb774db0d1","I`d have responded, if I were going"," I`d have responded, if I were going"
"0","549e992a42","Sooo SAD"," Sooo SAD I will miss you here in San Diego!!!"
"0","088c60f138","bullying me","my boss is bullying me..."
"0","9642c003ef","leave me alone"," what interview! leave me alone"
"0","358bd9e861","Sons of ****,"," Sons of ****, why couldn`t they put them on the releases we already bought"
"2","28b57f3990","http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth","http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth"
"4","6e0c6d75b1","fun","2am feedings for the baby are fun when he is all smiles and coos"
"2","50e14c0bb8","Soooo high","Soooo high"
"2","e050245fbd","Both of you"," Both of you"
"4","fc2cbefa9d","Wow... u just became cooler."," Journey!? Wow... u just became cooler.  hehe... (is that possible!?)"
"2","2339a9b08b","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"
"4","16fab9f95b","like","I really really like the song Love Story by Taylor Swift"
"0","74a76f6e0a","DANGERously","My Sharpie is running DANGERously low on ink"
"0","04dd1d2e34","lost","i want to go to music tonight but i lost my voice."
"2","bbe3cbf620","test test from the LG enV2","test test from the LG enV2"
"0","8a939bfb59","Uh oh, I am sunburned","Uh oh, I am sunburned"
"0","3440297f8b","*sigh*"," S`ok, trying to plot alternatives as we speak *sigh*"
"0","919fa93391","sick","i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
"0","af3fed7fc3","onna","is back home now      gonna miss every one"
"2","40e7becabf","Hes just not that into you","Hes just not that into you"
"2","04d17ef61e","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
"4","e48b0b8a23","interesting.","Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet"
"2","7de057cf40","is cleaning the house for her family who is comming later today..","is cleaning the house for her family who is comming later today.."
"2","9ce5570064","gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness","gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness"
"2","0c8cc71c46","SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH","SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH"
"4","e00c6ef376","the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted"
"0","852edc3769","I`m sorry.","  I`m sorry."
"0","bdc32ea43c",".no internet","On the way to Malaysia...no internet access to Twit"
"4","6ce4a4954b","fun","juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?"
"0","d22e6d40a7","Power back up not working too","Went to sleep and there is a power cut in Noida  Power back up not working too"
"4","d33f811375","Quite....heavenly","I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?"
"4","7d8c4c11e4","hope","i hope unni will make the audition . fighting dahye unni !"
"0","1c31703aef","well so much for being unhappy for about 10 minute"," If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes."
"4","2dc51711bc","funny."," That`s very funny.  Cute kids."
"2","d21ab5855b","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
"2","4f5267ad70","Thats it, its the end. Tears for Fears","Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"
"0","2724775d6b","miss","Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY"
